日期,时间,成交价,成交量,总量,属性(持仓增减),B1价,B1量,B2价,B2量,B3价,B3量,S1价,S1量,S2价,S2量,S3价,S3量,BS
2012-08-20,9:07:05,7650,10,10,3506,7624,5,0,0,0,0,7662,100,0,0,0,0,B
2012-08-20,9:07:11,7660,200,210,-200,7624,5,0,0,0,0,7670,5,0,0,0,0,B
2012-08-20,9:07:39,7672,4,214,0,7626,100,0,0,0,0,7672,5,0,0,0,0,B
2012-08-20,9:07:42,7672,4,218,0,7672,3,0,0,0,0,7674,3,0,0,0,0,B
2012-08-20,9:07:43,7672,2,220,0,7672,2,0,0,0,0,7674,3,0,0,0,0,S
2012-08-20,9:07:45,7672,4,224,0,7626,100,0,0,0,0,7672,1,0,0,0,0,S
2012-08-20,9:15:02,7670,200,424,-200,7626,100,0,0,0,0,7678,8,0,0,0,0,S
2012-08-20,9:19:39,7676,120,544,-116,7626,100,0,0,0,0,7678,8,0,0,0,0,B
2012-08-20,9:19:46,7676,4,548,0,7626,100,0,0,0,0,7678,8,0,0,0,0,B
2012-08-20,9:19:49,7678,16,564,-16,7626,100,0,0,0,0,7682,1,0,0,0,0,B
2012-08-20,9:26:34,7676,2,566,0,7662,10,0,0,0,0,7696,5,0,0,0,0,S
2012-08-20,9:58:48,7692,10,576,0,7672,3,0,0,0,0,7712,5,0,0,0,0,B
2012-08-20,10:01:54,7692,40,616,-40,7662,5,0,0,0,0,7708,5,0,0,0,0,B
2012-08-20,10:13:18,7668,8,624,-6,7664,3,0,0,0,0,7668,6,0,0,0,0,S
2012-08-20,10:30:59,7668,4,628,0,7658,3,0,0,0,0,7668,4,0,0,0,0,B
2012-08-20,10:34:02,7668,8,636,0,7658,3,0,0,0,0,7700,50,0,0,0,0,B
2012-08-20,10:38:50,7668,6,642,0,7662,1,0,0,0,0,7668,7,0,0,0,0,S
2012-08-20,10:39:30,7668,14,656,0,7662,1,0,0,0,0,7700,50,0,0,0,0,B
2012-08-20,10:47:25,7670,20,676,0,7664,1,0,0,0,0,7700,50,0,0,0,0,B
2012-08-20,10:50:44,7670,40,716,-40,7656,1,0,0,0,0,7700,55,0,0,0,0,B
2012-08-20,10:59:58,7656,2,718,0,7646,50,0,0,0,0,7682,5,0,0,0,0,S
2012-08-20,11:03:00,7668,58,776,-58,7646,50,0,0,0,0,7668,16,0,0,0,0,B
2012-08-20,11:03:12,7668,42,818,-42,7646,50,0,0,0,0,7670,5,0,0,0,0,B
2012-08-20,11:17:54,7666,6,824,-6,7666,47,0,0,0,0,7668,47,0,0,0,0,S
2012-08-20,11:17:55,7666,2,826,-2,7666,46,0,0,0,0,7668,46,0,0,0,0,S
2012-08-20,11:17:56,7666,22,848,-22,7666,35,0,0,0,0,7668,35,0,0,0,0,S
2012-08-20,11:17:56,7666,40,888,-40,7666,15,0,0,0,0,7668,15,0,0,0,0,S
2012-08-20,11:17:57,7666,4,892,-4,7666,13,0,0,0,0,7668,13,0,0,0,0,S
2012-08-20,11:17:57,7666,16,908,-16,7666,5,0,0,0,0,7668,5,0,0,0,0,S
2012-08-20,11:17:59,7666,4,912,-4,7666,3,0,0,0,0,7668,3,0,0,0,0,S
2012-08-20,11:18:00,7666,6,918,-6,7646,50,0,0,0,0,7670,5,0,0,0,0,S
2012-08-20,13:37:28,7698,2,920,2,7662,4,0,0,0,0,7698,1,0,0,0,0,B
2012-08-20,13:50:22,7692,66,986,-66,7670,1,0,0,0,0,7692,9,0,0,0,0,S
2012-08-20,13:50:30,7688,12,998,-4,7688,3,0,0,0,0,7690,9,0,0,0,0,S
2012-08-20,13:50:31,7688,6,1004,-6,7666,1,0,0,0,0,7690,6,0,0,0,0,S
2012-08-20,13:50:42,7688,12,1016,-12,7666,1,0,0,0,0,7698,2,0,0,0,0,S
2012-08-20,14:01:52,7664,2,1018,0,7664,1,0,0,0,0,7698,102,0,0,0,0,S
2012-08-20,14:45:43,7686,200,1218,-200,7650,2,0,0,0,0,7694,1,0,0,0,0,B
2012-08-20,14:52:04,7680,200,1418,0,7652,1,0,0,0,0,7680,2,0,0,0,0,S
2012-08-20,14:54:38,7656,40,1458,-40,7656,80,0,0,0,0,7674,1,0,0,0,0,S
2012-08-20,14:54:52,7656,2,1460,-2,7656,79,0,0,0,0,7674,1,0,0,0,0,S
