日期,时间,成交价,成交量,总量,属性(持仓增减),B1价,B1量,B2价,B2量,B3价,B3量,S1价,S1量,S2价,S2量,S3价,S3量,BS
2004-09-10,9:04:05,25300,4,4,2094,25200,20,0,0,0,0,25310,20,0,0,0,0,B
2004-09-10,9:07:19,25210,2,6,0,25210,1,0,0,0,0,25300,20,0,0,0,0,S
2004-09-10,9:22:51,25260,2,8,2,25230,1,0,0,0,0,25260,4,0,0,0,0,B
2004-09-10,9:28:18,25250,2,10,0,25220,1,0,0,0,0,25260,4,0,0,0,0,S
2004-09-10,9:42:20,25220,2,12,2,25150,2,0,0,0,0,25250,5,0,0,0,0,S
2004-09-10,9:47:16,25240,2,14,0,25200,1,0,0,0,0,25250,5,0,0,0,0,B
2004-09-10,9:49:19,25250,2,16,2,25210,2,0,0,0,0,25250,4,0,0,0,0,B
2004-09-10,9:55:45,25250,2,18,2,25220,1,0,0,0,0,25250,3,0,0,0,0,B
2004-09-10,9:57:43,25250,6,24,0,25220,1,0,0,0,0,25260,4,0,0,0,0,B
2004-09-10,9:57:50,25260,8,32,0,25220,1,0,0,0,0,25280,10,0,0,0,0,B
2004-09-10,9:59:39,25270,2,34,0,25250,2,0,0,0,0,25270,1,0,0,0,0,B
2004-09-10,9:59:46,25270,2,36,2,25250,2,0,0,0,0,25280,10,0,0,0,0,B
2004-09-10,10:00:32,25270,2,38,2,25220,1,0,0,0,0,25270,9,0,0,0,0,B
2004-09-10,10:14:18,25250,4,42,-2,25240,2,0,0,0,0,25250,2,0,0,0,0,S
2004-09-10,10:44:29,25220,2,44,0,25140,1,0,0,0,0,25240,2,0,0,0,0,S
2004-09-10,10:50:37,25150,2,46,0,25150,4,0,0,0,0,25230,1,0,0,0,0,S
2004-09-10,11:06:27,25230,2,48,2,25160,3,0,0,0,0,25240,2,0,0,0,0,B
2004-09-10,11:08:23,25180,2,50,-2,25170,10,0,0,0,0,25230,10,0,0,0,0,S
2004-09-10,11:13:09,25180,2,52,2,25180,2,0,0,0,0,25230,10,0,0,0,0,S
2004-09-10,11:13:11,25170,14,66,2,25170,5,0,0,0,0,25230,10,0,0,0,0,S
2004-09-10,11:14:46,25170,6,72,0,25170,2,0,0,0,0,25210,1,0,0,0,0,S
2004-09-10,11:17:41,25180,2,74,0,25170,2,0,0,0,0,25210,1,0,0,0,0,B
2004-09-10,11:17:56,25170,2,76,0,25170,1,0,0,0,0,25230,11,0,0,0,0,S
2004-09-10,11:18:17,25170,2,78,-2,25160,1,0,0,0,0,25200,1,0,0,0,0,S
2004-09-10,11:21:23,25180,4,82,4,25160,1,0,0,0,0,25200,1,0,0,0,0,B
2004-09-10,11:23:39,25160,2,84,2,25150,6,0,0,0,0,25190,1,0,0,0,0,S
2004-09-10,11:24:32,25150,8,92,0,25150,2,0,0,0,0,25190,1,0,0,0,0,S
2004-09-10,11:24:33,25150,4,96,0,25140,1,0,0,0,0,25190,1,0,0,0,0,S
2004-09-10,11:26:26,25140,2,98,2,25140,5,0,0,0,0,25170,5,0,0,0,0,S
2004-09-10,11:26:28,25140,8,106,0,25140,1,0,0,0,0,25170,5,0,0,0,0,S
2004-09-10,11:26:49,25140,2,108,0,25120,1,0,0,0,0,25170,5,0,0,0,0,S
2004-09-10,11:27:42,25170,10,118,10,25130,1,0,0,0,0,25190,1,0,0,0,0,B
2004-09-10,13:30:26,25190,2,120,2,25150,5,0,0,0,0,25230,11,0,0,0,0,B
2004-09-10,14:00:48,25150,2,122,2,25150,4,0,0,0,0,25180,1,0,0,0,0,S
2004-09-10,14:33:35,25170,2,124,0,25160,2,0,0,0,0,25180,2,0,0,0,0,B
2004-09-10,14:34:50,25180,4,128,0,25170,1,0,0,0,0,25190,3,0,0,0,0,B
2004-09-10,14:38:03,25180,2,130,0,25160,2,0,0,0,0,25180,2,0,0,0,0,B
2004-09-10,14:42:09,25170,2,132,0,25160,2,0,0,0,0,25180,2,0,0,0,0,S
2004-09-10,14:53:34,25180,4,136,-4,25150,5,0,0,0,0,25190,3,0,0,0,0,B
2004-09-10,14:56:54,25180,2,138,0,25150,5,0,0,0,0,25180,3,0,0,0,0,S
